Commit Hash,Count in pyszz,Count in pd
a2eb30330fedc21043fd850a1313132503e1067a,0,0
c1c8c760d9f09067c54a639726afb2577ed52746,1,3
80e8abac28117bbb3eca0f3d6ab87a6f6923dc61,0,3
981b14d3cc7b2590f5fe55d526e9d901f5faa5e8,0,1
612d64e7fc915287342c7cbc3772f204faab42d3,0,2
3d4b5104d19aa185280171a64f96c2c1ad27b5cb,1,2
89ee88513c0012a776afa5d7dc5af14e01e36852,3,6
cc5db7b1f60ce64e1217ba59cbffb3033df63245,1,0
43e61386daeba08507a4d087eb7918b33b715b07,0,0
dd13184e76610c12f1482af7790e4b13378a4ccc,2,2
d2ddf938092bfd226f73cb63a61494a1d2dccec6,22,22
ea29f5600108947c6ac3193abe8e3bc3f4a74de1,1,0
,0,0
c94bb1b436b835bf4b15a1e0395a2813e71f2bc0,1,5
53fe4b2649cab344f1d3cc68af9aa107d4ccf362,0,0
61120e40516312949e33b08f644077cbba166f31,0,0
cc5db7b1f60ce64e1217ba59cbffb3033df63245,1,0
85386e6436728bd6aa81085532fc86c1bb3217da,0,0
6768ecbd16c05c6de61159a637ce1fa9d747daf5,1,0
d2b36c06c4979c8610df750563596e88027c1f24,1,0
456241c1624f549dc0b1453114b2fe0143ef2212,2,4
8a9cec3e40405f60ab5e91e3a5313180441818b7,1,4
dc93905798db8ef1a096e0c545c0ae9865270618,1,5
fa7c7dae216d2dddecff7c756122d72516f93665,0,8
d2ddf938092bfd226f73cb63a61494a1d2dccec6,22,22
dc0d10c46af477e3cee03e15c97b9934ebcf90b3,0,0
7e1bf18f9bb02439133d7e9a270ae0cd24d95a8b,0,3
8fa6af04335a27dee0ed1e754c88d8cefcce1dab,1,2
8591e09894abfddde84b0fedc515bce4276e4f80,1,2
55584086764e242dd459d760bc0a1ec401c93c21,1,1
2d5908a7ae171e00deb6e930cc6270d9f5a8c3b0,0,1
b251ebc7ec4025a182d31cb5fed74d813b33135d,0,1
976cd440fd00c0d2b01da4bfe4e7f787c459af86,0,3
7ace79be08f9b4a5dbfb03cb49da05101d03ab70,1,4
40d2834d801df2d778d8d978da28615d39bedf0b,0,1
3c2e3f2445a073979be41151ee896a890b8c4e6c,1,1
d48488624d27062b54748539d3e149e5064d761a,0,0
2cdf085ca094e640073774764551296ff03d1f8f,0,5
,0,0
,0,0
21de9b0a7a9c639afaf9d4a8955d4fe642bf8c3c,0,0
07652a93fb10ef5115e1346fd68576aa2e4cea36,1,3
cb8fb55dcabf27319ae2c03d64ec108e85b78e39,1,1
c1c8c760d9f09067c54a639726afb2577ed52746,1,3
e964e2c04c25299d30c25ea655801b565c109443,0,2
38e162df42fddc6b317ea550d538591030b945a9,0,1
6701a9e7cce8e0d2f9b5d1cf6d8f1ae34a2deedc,0,1
08b2314193830143bba3f99b05b3111fb11fd3f8,0,1
c684923e59e9cc190a7cca5e9c6cbe9cd53aed6a,1,0
d1702bba3210dd85d785a02171670c7ddd30f69c,0,0
776895e8317332bb4e22f92f6a1d0e3c96ffdb1f,0,0
dd13184e76610c12f1482af7790e4b13378a4ccc,2,2
79a330ebfe8c3df4ee057726e0e4029675d4e870,0,0
d9644d0184044b3f3cdc40fd9323410e72b28aec,2,2
e50566aa00e42cfc459d27eb3ac13934ce5535d8,2,3
88f07fd5502268c7f0dbd88053dae96e702e4acb,2,2
414f00faf443163a78734076c246f59442447d79,0,0
690f837293fcb9a96913e8b080a4a0050f3c941f,1,1
b9df9cb0b6c3d522657e157fd86fc5bc420ff620,0,0
9422c4518caf1bfd7df82b8109972f334f22e2a8,0,1
8a9cec3e40405f60ab5e91e3a5313180441818b7,1,4
d7f7b67dee86be1a8b30d4681910883d4f4481ab,0,0
4893461482d8d04a8d71310d73c3a870dc042f76,0,4
bc3d2234e62e15cbeb1ce51c0c0863a226cea24a,1,1
c609376cde654af48475f6c40322bfd9a51450eb,5,12
2f0dc35686a780f63f098250cf7c755141b953ac,0,1
d2c5e23bf3d0eb8ecefeeb6fdafed4bc9394636d,1,1
cf6b1ed03cb104262f03d015d8ff8a1d206e1c06,0,0
,0,0
b991648cde18f447099eaee3f605e1b709151dd5,0,1
07bd8cc3e534be23c22d336ad8aa85f3a767762b,0,0
cf6b19685e0a45325c1165b1d86940cd828d640e,1,3
d2ddf938092bfd226f73cb63a61494a1d2dccec6,22,22
138a677cec6be3d5c0fc7c84ef1b94d94835cf28,0,0
d0717185f75b442d0ce44210f0488066398bc586,0,0
3c5346823d62068ba0d181c237460cda711e6b0e,0,4
3c7eaa7774a9133cafd5d6b8abc896770d83667f,0,1
edf5f6602563734376f23335b87640a5cf12abcb,0,0
a2fbb3a46901eee3310527bf6e283f1656dafb89,0,0
5dcc05a50760698149e1177832ab5a0c457e33fa,0,0
fb9f3ecf79a8a908129432100846679650b88a66,1,6
56b9a67eb569897bd4c7d7a26e7cde8b70d94639,2,6
ef088e2fe126b71f4a856966073ce83ee8db0ce8,1,6
ce67502a470dac870b602baa41676f4dd7398a25,0,2
2c7715cf0476d504475cde7b5e23c4bff677036b,1,1
3d790e215cb0be23d96bcf4d2b73de23eb0abf07,2,2
51bff3dee0e836aa42b57a0b491fe4133e333747,0,2
f4926ca51f4d1cd71ba334758592215170db02f4,0,0
5ef7d684e63bf741491c2de41352feeed0f3853c,0,2
6f2feebec202b02149880a9f702c6a15d67bbfb5,1,3
246d9fc362a984b45599da323c54087828983971,1,2
734c645078a10435dc60be4295692a21e66c2cbb,0,0
,0,0
ace1ba1118fcd26973f3e3e4907f0112c9cf6b0d,1,4
,0,0
e50566aa00e42cfc459d27eb3ac13934ce5535d8,2,3
a63cd1a759c353ea3779c85843accb450f2a469d,0,0
a1883824126d829d9f50baed3b23836411ced0b4,1,1
3d24714deb07978972b921025551d5328faff039,3,9
ce12792d475a4a1281a7b0839eba27156e99d619,0,0
